Title,Variant,Mileage,Fuel,Transmission,Location,Price,Local Price,Seller's Number,Seller's Logo
Toyota Land Cruiser 2018,Toyota Land cruiser 200 Series,159933 kms,Diesel,Automatic,harare high density,"$55,000",negotiable,+263718959389,Shimano Car Breaking & Spares
Toyota Rav4 2008,"Toyota Rav4
2008 Model
Automatic Transmission...",170000 kms,Petrol,Automatic,harare north,"$12,000",negotiable,+263785766437,Patch Auto Dealership
VW Beetle 2001,"VW Beetle 
2001 Model
Manual Transmission 5-Spd...",25000 kms,Petrol,Manual,harare north,"$6,800",negotiable,+263785766437,Patch Auto Dealership
Toyota Conquest 1989,"Toyota Conquest 
1989 Model
Manual Transmission...",194000 kms,Petrol,Manual,harare north,"$5,500",,+263785766437,Patch Auto Dealership
Land Rover Defender 1999,Land-rover Defender,450720 kms,Diesel,Manual,harare east,"$14,500",negotiable,+263783590808,Masons Motors
Toyota Hilux 2018,Toyota Hilux GD6 2.8 4x4,138000 kms,Diesel,Automatic,harare north,"$31,000",negotiable,+263772809485,Luxury Auto
Hino 300 Series 2025,Hino 300,10 kms,Manual,harare east,,"$55,000",,+263772344857,Autoplan
Lexus GX550 2025,Lexus GX 550 brand new,Petrol,Automatic,harare cbd,,"$180,000",negotiable,+263773382019,Fincron Motors
Hino Dutro 2007,Hinho dutro no4c engine and gearbox intact long base 3.5 tonne,96000 kms,Diesel,Manual,bulawayo cbd industrial,"$17,500",negotiable,+263778677458,
2022 Model,,,,,,,,,
"Manual...""",61000 kms,Diesel,Manual,harare north,"$39,000",negotiable,263785766437,+Patch Auto Dealership,
Range rover Sport 2025,Range Rover Sport 2024/25,1000 kms,Diesel,Automatic,harare cbd,"$155,000",negotiable,+263773382019,Fincron Motors
Toyota Land Cruiser 2016,"Toyota LandCruiser 200Series GX.R
2016 Model
Man...",Diesel,Manual,harare north,,"$53,000",negotiable,+263785766437,Patch Auto Dealership
Toyota Land Cruiser 2016,Lanc cruiser 200Series GX.R,240000 kms,Diesel,Manual,harare east,"$55,500                                                                                                                                                        $56500",negotiable,+263776621574,King Car Sales
Nissan Hardbody 2002,Nissan Hardbody 4x4 Off Road Double Cab - 2002,358570 kms,Petrol,Manual,harare north,"$4,800",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Isuzu D-Max 2022,Isuzu D Max,79000 kms,Diesel,Manual,harare cbd,"$38,800",negotiable,+263717627971,Classic Auto Trader
Ford Ranger 2022,Ford Ranger Raptor,110000 kms,Diesel,Automatic,harare cbd,"$58,800",negotiable,+263717627971,Classic Auto Trader
Mercedes Benz GLE 2022,Mercedes Benz GLE400d Coupe Edition,28000 kms,Diesel,Automatic,harare cbd,"$95,999",negotiable,+263773382019,Fincron Motors
Nissan Caravan 2017,NV350 Caravan Diesel Engine Super Clean,87000 kms,Diesel,Automatic,harare west,"$18,500",,+263773025268,Mars Motors
Ford Ranger T4 2008,Ford Ranger-T4-2.5D,187330 kms,Diesel,Manual,harare north,"$15,000                                                                                                                                                                    $15800",negotiable,+263789252533,MTW Auto
Isuzu Mu-X 2024,"Isuzu MUX SUV
3.0TD Diesel Engine
Automatic 4x4...",21000 kms,Diesel,Automatic,harare east,"$57,000",negotiable,+263773476723,Stone River Motors
Mitsubishi Fuso 2006,2006 Mitsubishi Fuso Fighter Manual,300000 kms,Diesel,Manual,harare south,"$20,500",,+263772610620,Tokyo Motors (Pvt) Ltd
Toyota Hilux 2016,Toyota Hilux,177320 kms,Diesel,Manual,harare east,"$20,500",negotiable,+263783590808,Masons Motors
Toyota Land Cruiser 2010,Toyota Landcruiser,241712 kms,Diesel,Automatic,harare east,"$65,000",negotiable,+263783590808,Masons Motors
Toyota Hilux 2020,"Toyota Hilux 
Legend 50 
2020 Model 
4x4 
Auto...",Diesel,Automatic,harare east,,"$49,500",negotiable,+263773476723,Stone River Motors
Mazda CX-5 2017,Mazda Cx5 2017 Sport,123760 kms,Diesel,Automatic,harare south,"$22,500",negotiable,+263775813151,Bliz Global Trading
